Animal_ID,Species,Age,Gender,Weight_kg,BMI,Medical_Condition,Daily_Caloric_Intake,Protein_Intake,Fat_Intake,Carbohydrate_Intake,Water_Intake,Activity_Level,Metabolic_Rate,Heart_Rate,Respiratory_Rate,Feeding_Frequency
2926,Sheep,17,Female,79.68,247.93,Foot Rot,1588.8,110,169.7,257.2,2.73,Sedentary,326.5,135,20,2
2927,Cat,15,Male,26.17,114.73,Chronic Kidney Disease,2499,118.9,133.8,,4.29,Moderate,1729.5,146,,3
2928,Horse,1,Female,585.57,256.75,Laminitis,,16.6,113.1,174.1,1.54,Moderate,966.4,156,25,1
2929,Dog,17,Male,10.96,79.03,Hip Dysplasia,1972.9,90,131.5,52.1,2.68,Moderate,1592.5,89,22,1
2930,Cow,5,Female,691.91,249.14,Ketosis,327.5,81.1,22.6,,2.98,Sedentary,1306.4,138,,4
2931,Cow,7,Male,537.58,264.48,Ketosis,1330.9,129,105.1,291.9,3.08,Active,1522.5,,20,4
2932,Rabbit,8,Male,7.85,,Encephalitozoon,1648.2,,176.6,107.8,4.51,Moderate,1485.2,117,13,2
2933,Sheep,12,Male,102.75,303.66,Foot Rot,675.7,55.6,116,21.1,4.69,Moderate,590.8,105,21,4
2934,Cow,17,Male,,253.33,Foot-and-Mouth,1291.3,30,43.7,264.2,3.37,Moderate,1326.8,124,12,4
2935,Cat,5,Male,38.25,141.02,FLUTD,1250.2,,16.9,,4.03,Active,,158,26,1
2936,Horse,6,Male,,293.55,PPID,,135.7,,38.7,2.98,Sedentary,718.1,147,29,2
2937,Cat,1,Male,38.25,110.82,Upper Respiratory Infections,1599,63.9,183.7,203,2.17,Sedentary,1229.5,129,11,3
2938,Cat,7,Female,26.89,82.68,Dental Disease,1757.2,140.1,186,239.5,4.75,Active,469.5,135,19,4
2939,Rabbit,20,Male,28.54,226.85,Encephalitozoon,401.5,64.2,153.2,,2.68,Active,568.7,84,11,2
2940,Cat,17,Female,,,Chronic Kidney Disease,556.4,148.5,67.8,55.5,,Moderate,977.3,93,,3
2941,Cat,1,Male,39.4,140.1,Hyperthyroidism,,50.8,120.9,284.5,1.08,Moderate,595.1,96,24,1
2942,Cat,7,Male,7.23,21.69,FeLV,290.5,68.7,97.9,96.1,,Moderate,1015,152,16,1
2943,Horse,19,Female,592.56,281.06,Strangles,449.8,54.1,170.8,213.8,3.64,Active,1311.3,74,26,2
2944,Cat,15,Female,5.7,17.1,FeLV,2068.9,148.7,123.8,,3.95,Moderate,1327.3,113,16,1
2945,Cat,10,Female,35.17,130.67,Upper Respiratory Infections,2060.6,69.6,,149.4,4.36,Moderate,1538.8,108,14,4
2946,Cow,13,Female,357.66,141.38,Milk Fever,2394.8,123.4,,254.9,0.96,Active,656.1,67,25,1
2947,Cow,10,Male,394.56,141.2,Johnes,2191.9,32.1,135.8,162.2,2.35,Sedentary,1155.9,111,26,2
2948,Cow,5,Male,755.01,300.53,Ketosis,697.8,,,82.3,1.87,Active,1749.4,98,,1
2949,Cat,6,Female,6.57,14.39,Upper Respiratory Infections,,135.6,180,216.9,2.69,Sedentary,,154,25,2
2950,Dog,9,Male,20.52,95.02,Allergies,655.2,65.6,,163.3,2.57,Active,716.9,,14,4
2951,Rabbit,20,Male,14.05,34.78,Myxomatosis,,110.4,,225.8,1.14,Active,1591.2,70,12,4
2952,Cat,10,Female,38.54,371.71,FeLV,,69.1,22.6,,0.73,Active,1023.8,70,13,2
2953,Sheep,2,Female,111.25,234.83,Enterotoxemia,1266.8,123.7,42.2,266.7,0.75,Active,1415.3,84,17,4
2954,Sheep,5,Male,54.56,168.7,Parasites,1351.9,95.8,81.3,,,Active,786.2,79,25,4
2955,Cow,13,Male,395.9,144.94,Mastitis,256,111.4,111,201.6,2.58,Sedentary,,,23,2
2956,Sheep,1,Female,40.91,104.23,Enterotoxemia,1847.4,116.8,115.3,242.5,4.31,Moderate,420.1,159,20,4
2957,Horse,1,Male,319.59,154.23,Equine Influenza,584.7,34.3,10.8,33.7,0.65,Sedentary,,112,,4
2958,Cat,5,Male,27.08,177.13,FIV,,59.7,140,65.1,2.54,Moderate,1352.2,85,15,4
2959,Sheep,7,Male,44.14,109.92,Enterotoxemia,892.4,54.3,,45.9,,Sedentary,1062.1,,16,2
2960,Horse,10,Female,740.86,239.74,Strangles,1326.1,,35.7,182.7,,Moderate,,,21,4
2961,Rabbit,11,Male,27.67,57.01,Dental Disease,1371.3,17.1,126.2,91.4,4.74,Moderate,1497.9,122,11,2
2962,Rabbit,10,Male,15.06,97.26,Encephalitozoon,,,185,129.8,0.87,Moderate,1565,148,26,2
2963,Dog,12,Male,39.31,203.97,Heartworm,,10.3,121.9,146.1,0.8,Moderate,,112,29,1
2964,Cat,5,Female,24.61,182.12,Hyperthyroidism,978.6,64.5,,164,3.34,Sedentary,1297.5,116,,1
2965,Cat,16,Male,24.38,238.83,FLUTD,762.5,71.5,24.4,,,Active,1023.5,140,13,3
2966,Horse,2,Female,479.08,147.95,Strangles,1126.8,35.1,44.5,116,2.49,Sedentary,,80,12,4
2967,Rabbit,1,Female,13.99,78.3,Encephalitozoon,1371,34,,,3.16,Active,643.6,,,1
2968,Cow,12,Female,533.17,170.88,Bloat,,69.9,73.2,56.8,2.87,Active,894.5,146,,1
2969,Cat,9,Male,7.79,22.89,Upper Respiratory Infections,2178.8,44.9,105.3,,1.28,Sedentary,,73,20,2
2970,Rabbit,14,Female,21.98,86.91,Pasteurellosis,1430.2,20.4,133.1,204.7,2.71,Sedentary,1591.1,73,26,2
2971,Sheep,12,Male,105.72,359.35,Foot Rot,2007.7,139.1,,265.3,3.3,Sedentary,823.3,,10,1
2972,Rabbit,14,Female,31.95,81.27,Dental Disease,1128.8,131.2,112.3,,4.91,Moderate,312.3,61,11,2
2973,Cat,1,Male,22.34,138.93,Dental Disease,2472.3,17.4,130.5,286,4.06,Active,773.4,141,24,3
2974,Cow,16,Male,,237.57,Foot-and-Mouth,490.3,38.7,,42.4,,Active,748,112,10,2
2975,Cow,14,Male,710.56,238.08,Bloat,,108.9,98.5,123.1,3.37,Sedentary,538.8,110,,2
2976,Dog,9,Female,20.29,53.23,Heartworm,874.4,,150.4,147.9,3.72,Moderate,1286.9,,12,4
2977,Sheep,12,Female,105.31,241.83,Caseous Lymphadenitis,439.5,138.7,164.3,36.6,0.58,Moderate,1461.4,78,14,4
2978,Cow,11,Male,,176.68,Johnes,212.7,12.1,,273.2,3.76,Sedentary,1721.9,97,13,3
2979,Sheep,11,Female,89.89,211.07,Foot Rot,951.7,85.2,57.6,105.1,3.56,Sedentary,834.4,75,10,1
2980,Cow,18,Male,691.88,272.54,Ketosis,306.6,66.2,107.7,196.6,1.78,Moderate,,75,11,3
2981,Dog,7,Male,30.73,109.07,Heartworm,1539.5,76.8,101.7,66.2,2.33,Sedentary,,132,,1
2982,Rabbit,1,Female,21.88,68.18,Pasteurellosis,2121.3,111.5,121,269.7,2.47,Active,1688.8,71,,2
2983,Rabbit,17,Male,10.85,33.02,RHD,,13.9,75,258.3,3.7,Sedentary,1652.9,61,16,1
2984,Rabbit,8,Female,5.58,45.81,GI Stasis,1582.1,97.1,164.2,60.5,0.92,Sedentary,,76,13,2
2985,Rabbit,16,Female,30.79,75.19,Pasteurellosis,756.2,,115.8,175.3,4.62,Moderate,1439.9,126,16,2
2986,Cat,5,Female,6.19,17.7,Hyperthyroidism,1418,108.6,114.2,64.6,0.55,Sedentary,1400,119,11,1
2987,Horse,9,Male,371.69,189.42,Laminitis,1429.4,61.5,53.3,,2.35,Moderate,1700.6,143,24,2
2988,Dog,7,Male,22.51,52.15,Parvovirus,318.5,35.9,101.7,,0.75,Active,,71,15,4
2989,Cow,6,Female,619.22,280.83,Johnes,2338.8,110,182,51,1.78,Active,1656.4,97,10,2
2990,Rabbit,5,Female,16.96,98.9,Myxomatosis,,60.7,,140.5,0.77,Sedentary,1725.7,103,16,2
2991,Sheep,14,Female,102.63,,Enterotoxemia,1524.9,121.9,26.9,109,2.89,Active,1542.1,64,11,1
2992,Horse,11,Female,595.76,206.78,EMS,1253.6,13.7,106.6,,4.55,Moderate,450.8,125,12,1
2993,Rabbit,3,Female,33.51,97.95,Uterine Tumors,2049.8,11.6,41.5,134.6,1.79,Active,929.9,117,18,1
2994,Dog,12,Female,33.1,133.47,Heartworm,1066.6,78.9,183.2,185.8,4.86,Moderate,742.1,142,23,2
2995,Sheep,3,Female,106.15,335.49,Scrapie,1878,26.3,108.4,,2.48,Active,1173.5,,11,4
2996,Cow,8,Male,629.33,210.13,Foot-and-Mouth,1980.9,,148.1,70,4.34,Moderate,1150.6,78,12,2
2997,Horse,1,Male,459.72,231.83,Colic,579.9,21.7,,99.9,3.45,Sedentary,,82,13,1
2998,Horse,14,Male,455.77,,Strangles,1747.8,142.6,,84.9,1.42,Sedentary,775.8,135,14,4
2999,Cat,8,Male,,275.85,Dental Disease,1204.5,,121.3,,3.1,Moderate,771.5,75,29,2
3000,Rabbit,10,Male,12.94,58.01,GI Stasis,2396.5,132.5,26.8,260.4,4.09,Sedentary,493.2,60,12,3
3001,Horse,12,Female,505.75,230.52,Laminitis,2472.4,,16.5,226.8,,Active,1007.1,119,22,2
3002,Sheep,16,Male,76.85,271.33,Parasites,1811.2,67.2,183.8,79.8,3.01,Moderate,,74,25,3
3003,Rabbit,5,Male,39.48,153.53,RHD,1496.6,39.4,,153.7,3.76,Active,969.1,117,18,1
3004,Sheep,2,Male,114.87,290.89,Enterotoxemia,930.4,16.9,106.9,131.4,1.21,Active,827.7,131,10,2
3005,Rabbit,19,Female,7.32,23.53,Dental Disease,804.1,93.5,189.2,,,Active,1339.3,136,24,3
3006,Cat,11,Female,24.44,107.41,Dental Disease,1302.1,122.8,7.6,,3.32,Active,825.6,68,25,1
3007,Cow,10,Female,692.43,266.14,Foot-and-Mouth,1431.2,112.2,171.5,,1.07,Sedentary,773,64,13,2
3008,Dog,20,Male,5.81,21.53,Pancreatitis,1454.5,145.9,45.6,123.3,2.96,Sedentary,474.9,122,24,1
3009,Horse,19,Male,,160.43,PPID,,137.1,186.8,42.7,2.57,Active,535.1,121,24,3
3010,Rabbit,6,Female,,135.42,GI Stasis,2139.2,29.5,101.9,104.7,3.06,Moderate,432.2,142,29,1
3011,Dog,4,Male,39.43,163.82,Pancreatitis,,97.6,33.4,45.5,3.65,Moderate,1743.3,111,14,1
3012,Cow,3,Male,654.19,215.23,Mastitis,1376.1,76.4,105.2,,3.41,Moderate,1239,147,21,3
3013,Dog,19,Male,,69.77,Hip Dysplasia,1942,36.1,127.7,54.5,2.93,Sedentary,1093.5,121,17,2
3014,Dog,5,Male,39.36,226.68,Heartworm,2205.3,115.3,124.7,60.6,2.9,Sedentary,543.5,140,14,1
3015,Cow,11,Female,334.12,113.72,BRD,,77.7,148.8,110.3,4.05,Sedentary,,95,12,1
3016,Cow,2,Male,490.24,160.54,Bloat,1918.1,107.8,,211.8,4.36,Moderate,805.1,86,12,4
3017,Dog,17,Female,30.22,86.81,Allergies,2314.3,,69.8,63.5,3.2,Active,1312.9,102,26,3
3018,Sheep,18,Male,115.81,319.99,Parasites,777.1,,126.3,134.4,1.89,Sedentary,1527.7,,23,1
3019,Cat,4,Male,,180.16,Upper Respiratory Infections,1324.5,72,17.4,,0.52,Moderate,551.1,,23,1
3020,Cat,1,Male,26.26,58.13,FIV,206.8,12.7,106.9,231.6,3.17,Moderate,,108,12,4
3021,Rabbit,7,Male,21,208.98,RHD,2091.6,36.5,195.1,,,Active,,,29,4
3022,Horse,1,Female,777.55,394.62,EHV,,,92.7,138.1,2.47,Sedentary,795.6,74,29,3
3023,Cat,13,Male,12.62,65.99,Hyperthyroidism,2301.8,75.9,,224.3,3.14,Sedentary,825,98,,4
3024,Dog,14,Female,12.75,,Parvovirus,1879.6,110.2,80.7,142.9,4.47,Sedentary,1632.3,,25,3
3025,Sheep,3,Female,107.67,292.32,Scrapie,979.6,32.9,191.1,135.8,3.07,Active,1695,95,28,1
3026,Cat,2,Male,36.29,280.48,FLUTD,616,63.6,80.2,51.3,2.53,Sedentary,1114.5,79,15,2
3027,Cat,6,Male,11.16,31.59,FeLV,977.5,124.6,163.4,110.2,1.84,Active,875.7,78,26,4
3028,Rabbit,4,Female,23.18,77.61,Encephalitozoon,723.3,16,,,0.9,Moderate,1601.2,71,16,2
3029,Sheep,5,Female,43.94,167.55,Pregnancy Toxemia,449.1,54.2,34.4,,2.13,Moderate,1721.6,153,18,2
3030,Cat,2,Male,6.26,25.02,Upper Respiratory Infections,1271.8,,,,4.43,Sedentary,1024.7,,16,4
3031,Rabbit,3,Male,27.85,73.73,Encephalitozoon,,97.1,142.8,266.1,0.85,Active,1792.9,118,24,3
3032,Cat,4,Male,29.32,72.78,Upper Respiratory Infections,,30.6,,265.3,1.18,Active,1268.3,83,11,4
3033,Rabbit,12,Female,,83.38,Dental Disease,,139.6,53.2,,0.7,Active,,67,,1
3034,Cat,10,Male,19.41,,Hyperthyroidism,,113.2,70.2,182,2.69,Active,,115,24,1
3035,Dog,16,Male,6.47,17.67,Heartworm,1368.3,18.9,7.1,87.5,3.46,Sedentary,1153.9,151,11,1
3036,Dog,15,Male,5.88,37.88,Hip Dysplasia,604.2,72.4,120.4,,4.66,Active,771.8,103,23,4
3037,Sheep,11,Male,,249.15,Parasites,1161.4,,,,4.7,Moderate,690,81,10,3
3038,Dog,18,Male,9.09,38.47,Lyme Disease,1816.7,136,,225.6,4.93,Active,920.3,85,23,2
3039,Rabbit,7,Female,,185.04,Encephalitozoon,1856.6,133.1,68.7,44.2,4.88,Active,1650.7,81,,4
3040,Rabbit,11,Female,10.44,21.49,Dental Disease,1583.1,26.7,148.7,233.9,3.66,Sedentary,1249.4,98,28,4
3041,Dog,16,Female,31.5,93.61,Heartworm,2115.8,80.1,,77.2,3.01,Moderate,431.5,68,14,3
3042,Rabbit,17,Female,25.05,93.11,Dental Disease,1619.7,73.6,,279.3,3.4,Active,747,85,23,4
3043,Dog,10,Female,24.16,174.21,Heartworm,336,69,,145.9,0.68,Active,,155,,1
3044,Sheep,18,Female,74.89,205.42,Scrapie,,63.2,159.2,192.5,2.23,Moderate,1796,75,11,1
3045,Sheep,14,Female,86.01,182.93,Enterotoxemia,,130.2,121.3,246.6,2.29,Sedentary,,131,24,3
3046,Cat,13,Female,7.79,21.18,FIV,707.8,120.9,,32.4,2.94,Active,928.5,120,15,2
3047,Dog,16,Female,29.12,207.3,Parvovirus,280.3,36.3,,233.5,2.03,Moderate,1679.2,,24,4
3048,Horse,9,Male,648.36,,Equine Influenza,945.3,119.6,186.8,94,1.93,Sedentary,1680.5,107,11,2
3049,Cow,1,Female,,145.14,Bloat,1606.1,105.1,,78.7,4.79,Sedentary,,100,14,1
3050,Dog,2,Female,,72.54,Hip Dysplasia,2162.1,,91.4,236.7,1.68,Sedentary,1512.4,68,14,2
3051,Sheep,5,Male,42.71,129.18,Pregnancy Toxemia,919.5,24.7,60.9,153.4,2.45,Moderate,1032.6,138,20,4
3052,Horse,9,Female,658,232.06,EHV,1367.2,142.8,6.9,269.6,1.87,Active,554.7,83,13,2
3053,Cat,16,Female,18.98,47.19,FIV,560.5,84.2,,73.6,2.32,Sedentary,1314.4,,21,3
3054,Horse,11,Male,646.54,225.06,Colic,1236.4,149.7,45.6,199.7,1.85,Moderate,1066.9,151,20,4
3055,Cat,17,Male,20.72,58.08,FLUTD,853.1,145.2,132.7,194.8,3.88,Active,1445,107,19,4
3056,Horse,14,Female,469.39,218.59,PPID,,117.6,81.1,251.7,3.36,Sedentary,1131.5,85,28,3
3057,Horse,20,Male,513.99,182.94,EHV,1327.3,55.1,161.6,,4.1,Active,,132,21,2
3058,Cow,17,Female,,281.74,Bloat,2387.9,37.1,199.2,105.9,2.55,Active,781.6,147,13,1
3059,Cow,9,Female,564.22,204.38,Milk Fever,1605.2,11.6,158.8,187.2,4.68,Active,373.3,72,16,2
3060,Dog,14,Male,30.85,260.24,Hip Dysplasia,1851.2,31.8,155.1,263.5,1.33,Moderate,769.7,155,11,4
3061,Horse,1,Male,574.08,,Colic,707.5,133.1,95,258.8,3.75,Active,712.2,,17,1
3062,Horse,4,Female,471.36,162.64,Laminitis,,109.9,81.1,263,2.67,Sedentary,1395.9,87,11,1
3063,Sheep,14,Male,46.3,177.94,Pregnancy Toxemia,2208.7,,24.1,169.6,,Moderate,1397.5,145,17,3
3064,Sheep,19,Male,67.08,245.52,Caseous Lymphadenitis,1191.3,127.6,,233.8,3.04,Sedentary,1252,,,4
3065,Sheep,6,Male,112.01,317.56,Enterotoxemia,,146.5,67.1,,4.94,Sedentary,994.2,63,21,4
3066,Cat,11,Male,8.48,20.93,Hyperthyroidism,563.9,108,100.3,284,3.84,Moderate,457.6,78,22,4
3067,Horse,2,Male,701.38,268.05,EMS,1538.4,88.6,106.9,170,0.69,Moderate,,143,28,1
3068,Sheep,1,Female,46.68,114.07,Caseous Lymphadenitis,363,92.7,109.7,202.5,4.01,Active,1704.7,123,16,2
3069,Horse,9,Female,647.41,230.01,EMS,632,105.5,80.3,,0.73,Active,,105,28,3
3070,Rabbit,7,Male,15.93,33.92,Uterine Tumors,,74.1,80,56.5,2.77,Active,327.2,118,16,1
3071,Sheep,19,Female,45.14,118.88,Caseous Lymphadenitis,287.7,105.5,24,256.2,0.83,Moderate,1556.8,84,25,2
3072,Cat,13,Female,17.6,48.45,Hyperthyroidism,415.5,93.1,,116.8,2.11,Moderate,1092,120,14,4
3073,Cat,4,Male,29.4,76.16,Chronic Kidney Disease,1174.9,32.5,158.5,,4.1,Moderate,858.5,83,20,1
3074,Sheep,16,Male,106.3,312.32,Scrapie,217.7,25.7,68.6,35.8,3.88,Active,869.3,63,13,4
3075,Cat,17,Male,7.53,19.61,FLUTD,,40.7,92.7,56,2.09,Active,407.3,,23,1
3076,Dog,1,Male,5.4,16.66,Lyme Disease,2429,118.6,93.5,90.2,1.84,Active,1144.3,107,27,3
3077,Horse,16,Female,305.52,110.62,Laminitis,1247.1,46,,137.7,3.12,Active,,107,23,1
3078,Horse,14,Male,343.35,113.59,EMS,2065.2,130.3,76.7,145.8,4.32,Moderate,998.3,126,26,3
3079,Dog,20,Female,23.73,69.25,Heartworm,206.3,50.2,,36.9,1.85,Moderate,1013,156,11,2
3080,Cow,2,Male,754.57,,Johnes,,96.6,11.8,53.2,1.21,Sedentary,1160.8,,18,3
3081,Dog,8,Female,38.13,214.42,Parvovirus,,131.3,153.8,,4.57,Sedentary,1136.3,156,10,4
3082,Rabbit,14,Female,14.13,133.69,Uterine Tumors,,128.7,,211.1,2.19,Sedentary,875.3,,11,2
3083,Horse,20,Female,778.86,326.37,EHV,208.7,126.9,,,3.51,Sedentary,1625.8,128,10,1
3084,Sheep,12,Male,108.13,285.8,Scrapie,1550.5,,68,227.4,,Active,1096.2,123,,1
3085,Horse,6,Female,505.4,176.08,Laminitis,1985.7,106.2,,199.2,1.35,Active,588.4,157,23,4
3086,Cow,20,Male,398.17,125.53,Mastitis,590.9,110.8,,165.2,3.45,Sedentary,,108,22,4
3087,Cat,19,Male,39.32,,FIV,2009.4,143.6,156.2,157.9,2.19,Sedentary,1668.5,111,11,2
3088,Dog,17,Male,27.85,134.88,Heartworm,2201.5,119.4,188.6,197.5,1.23,Active,1326.4,91,10,1
3089,Horse,7,Male,486.48,228.13,EHV,1934.8,30,88.4,166.6,1,Sedentary,1780.5,128,22,3
3090,Cat,9,Female,39.08,172.19,Chronic Kidney Disease,2063.4,42.7,34.5,30,1.58,Active,684.9,146,,2
3091,Dog,10,Female,23.18,132.1,Pancreatitis,,57,83.9,189.1,,Moderate,1409.1,129,12,3
3092,Cow,11,Male,545.33,260.52,BRD,2018,22.4,80.3,64.9,2.6,Active,957.3,65,21,3
3093,Cow,13,Male,581.84,188.71,Bloat,,133.6,,260.4,4.3,Active,1409.8,86,27,2
3094,Horse,9,Female,591.82,270.22,Colic,1409.7,68.6,,22.2,3.3,Moderate,409.6,119,27,3
3095,Dog,17,Male,18.09,134.6,Lyme Disease,2112.9,70.1,74.9,41.1,0.97,Sedentary,1190.8,156,19,3
3096,Cow,6,Male,704.76,332.12,Bloat,2016.9,67.1,,,4.06,Moderate,1237,116,11,4
3097,Cat,10,Male,10.64,75.58,Chronic Kidney Disease,,76.3,169.3,271.1,0.56,Moderate,1303.9,145,18,1
3098,Dog,7,Female,34.1,95.01,Hip Dysplasia,860.7,37.7,28.3,274.5,1.85,Active,,153,19,3
3099,Cat,3,Male,,,FLUTD,2217.7,112.2,13.6,,2.88,Sedentary,1140.3,151,23,3
3100,Cow,18,Female,777.07,366.35,Mastitis,1111.5,133.3,117.3,243.5,,Sedentary,412.7,77,12,1
3101,Cow,9,Male,320.93,127.12,Bloat,2493.6,111,173.3,140.9,1,Moderate,1285.6,,21,1
3102,Sheep,7,Female,,103.45,Caseous Lymphadenitis,1717.8,48.2,111.9,171.8,1.04,Moderate,708.2,61,28,3
3103,Horse,6,Male,510.53,217.01,Colic,,,69.2,271.8,,Moderate,655.6,71,17,2
3104,Rabbit,17,Female,8.27,69.2,Uterine Tumors,1089.5,29.7,,167,4.18,Active,1637,101,,2
3105,Horse,13,Male,777.7,344.68,Laminitis,2020.9,104.6,5.1,232.7,1.01,Sedentary,1309.4,137,18,2
3106,Dog,19,Male,21,182.84,Parvovirus,1049,116.6,21,150.7,3.35,Active,541.5,110,16,2
3107,Rabbit,3,Female,9.79,23.95,Dental Disease,1065.8,78.6,13.7,145.1,4.76,Active,354.9,116,27,1
3108,Rabbit,15,Female,,102.83,Encephalitozoon,991.5,,23.2,104.7,3.91,Moderate,388.1,131,19,1
3109,Cow,20,Female,633.01,233.67,Ketosis,957.5,77.9,107,,1.34,Sedentary,1672.7,,26,1
3110,Dog,4,Female,11.55,36.13,Pancreatitis,646.1,134.2,60.8,265.2,4.78,Moderate,1268.6,150,24,4
3111,Cat,20,Male,29.4,81.02,FeLV,635.8,27.1,191.8,95.7,4.92,Moderate,877.1,62,20,2
3112,Cat,5,Male,21.28,182.58,Dental Disease,2026.4,137.2,,102.9,3.37,Moderate,785,158,,1
3113,Cow,14,Female,614.8,264.12,Johnes,1615.7,143.1,44.9,20.7,3.85,Active,472.8,107,,4
3114,Cow,14,Male,745.28,261.38,Bloat,828.6,102.9,73.9,97.2,,Sedentary,,61,22,2
3115,Dog,14,Male,32.41,177.92,Parvovirus,,18.8,174.6,284.3,3.82,Moderate,1799.6,126,21,1
3116,Sheep,18,Male,41.39,99.89,Parasites,1569.9,57,38.5,,1.9,Moderate,,60,20,3
3117,Rabbit,16,Female,10.32,107.39,Uterine Tumors,1297.1,130.7,,,0.71,Moderate,335.9,93,27,3
3118,Rabbit,10,Male,,147.79,RHD,1622.2,110.7,114.7,258.9,3.69,Moderate,1601.2,107,22,2
3119,Sheep,12,Female,83.32,234.01,Parasites,899.5,78.8,112.5,275.4,2.52,Active,1363.7,91,19,4
3120,Rabbit,6,Female,5.78,23.95,Dental Disease,1904.7,32.6,127.5,101.2,0.74,Sedentary,1347.7,143,24,2
3121,Cow,8,Female,746.92,271.09,BRD,743.3,77.7,77.3,168.4,1,Moderate,1785.8,92,25,2
3122,Cat,9,Female,28.97,110.68,Dental Disease,1480.5,23,127.4,101.4,,Active,606.9,80,18,3
3123,Dog,17,Male,,121.91,Hip Dysplasia,2141.4,96.1,152,176.4,1.32,Moderate,1698.8,125,19,4
3124,Sheep,16,Male,75.73,263.4,Enterotoxemia,1402.3,119.1,107.3,132.8,,Active,1112.5,,29,4
3125,Cat,20,Female,33.98,235.57,FeLV,1366.9,97.9,91.9,290.2,2.18,Active,385.2,79,20,1
3126,Sheep,6,Female,107.73,238.42,Scrapie,1690.1,11.9,20.8,257.6,0.87,Active,1592,,13,3
3127,Horse,11,Male,697.74,353.41,EMS,922,,,,2.7,Sedentary,1456.4,,18,2
3128,Sheep,14,Female,85.26,328.7,Foot Rot,2474.9,78.1,,27.4,,Active,1062.5,115,14,4
3129,Rabbit,16,Female,19.87,40.74,Pasteurellosis,1813.1,,10.9,280.8,,Sedentary,,126,11,1
3130,Cow,10,Male,668.82,277.92,Milk Fever,972.5,49.6,191.9,,2.85,Moderate,1216.2,121,20,2
3131,Cat,10,Male,28.88,100.49,Hyperthyroidism,,26.3,8.3,,1.49,Sedentary,1010,81,18,2
3132,Cat,5,Female,23.84,142.03,Chronic Kidney Disease,2219.5,88.4,190.5,,1.55,Active,1200.3,,26,2
3133,Dog,7,Female,36.95,354.39,Allergies,2137.6,126.7,135.2,,,Moderate,1137.3,64,,2
3134,Dog,20,Male,,,Canine Distemper,2372.9,148,25.8,170.2,4.96,Sedentary,404.9,90,14,2
3135,Dog,19,Female,8.1,44.76,Canine Distemper,554.2,98.7,,217.3,4.93,Sedentary,1144,142,13,2
3136,Horse,20,Female,693.92,248.7,Laminitis,932,53.6,195.7,114.6,4.98,Active,1240.6,67,10,3
3137,Rabbit,14,Female,11.59,34.28,GI Stasis,2373.2,67.9,5.8,49.4,0.79,Active,1731.3,137,11,4
3138,Dog,12,Female,11.86,50.61,Parvovirus,1698.5,111.3,9.4,37.3,4.47,Sedentary,,66,11,2
3139,Rabbit,6,Female,,61.59,Dental Disease,2307.9,76.7,177.6,,,Moderate,1605.7,110,13,1
3140,Cat,8,Male,,71.61,FLUTD,786.1,,101.5,53.4,4.53,Moderate,1035.1,92,11,4
3141,Dog,16,Male,28.87,74,Lyme Disease,1906.7,29.5,18.5,283.1,4.48,Active,372.3,156,14,1
3142,Dog,1,Female,7.78,35.25,Allergies,1384.8,85.2,,257.8,3.48,Sedentary,920.5,147,11,1
3143,Sheep,12,Female,71.19,211.19,Scrapie,1696.8,,84.9,179.8,0.99,Active,,84,27,3
3144,Horse,16,Male,507.66,205.64,EMS,1502.4,57.1,90.7,30.4,,Sedentary,,146,19,3
3145,Horse,12,Male,319.01,102.38,PPID,1881.9,33.5,,,3.84,Moderate,1686.4,66,27,2
3146,Dog,18,Male,14.77,41.1,Allergies,672.8,76.4,,39.4,3.19,Active,487.2,118,13,3
3147,Rabbit,20,Female,19.23,135.52,GI Stasis,2443.8,82.7,177.2,78.4,3.16,Sedentary,949.3,90,10,3
3148,Rabbit,18,Female,,114.09,Uterine Tumors,1373.7,149.7,155.9,217.2,3.79,Active,766,60,21,3
3149,Rabbit,1,Male,18.27,72.96,Pasteurellosis,2086.3,40,43.5,245.3,3.21,Moderate,,98,18,1
3150,Sheep,10,Female,91.49,,Enterotoxemia,246.6,86,82.6,167.9,1.92,Moderate,,149,19,3
3151,Cat,4,Female,5.01,17.06,Upper Respiratory Infections,,62.3,118.5,88.4,3.28,Moderate,,127,17,2
3152,Cat,19,Female,11.96,79.2,Chronic Kidney Disease,966.2,114.5,50.1,200.1,4.94,Moderate,858.3,,26,3
3153,Rabbit,11,Male,20.95,73.55,Dental Disease,,131.9,56.2,271.5,3.12,Active,591.1,92,12,3
3154,Cow,17,Female,356.47,150.86,Milk Fever,910.3,,,88.3,1.57,Moderate,1772.9,66,25,4
3155,Sheep,17,Male,48.67,165.98,Parasites,1986.3,36.6,121,28.9,3.29,Moderate,859.6,99,21,2
3156,Cat,13,Female,12.63,69.5,Hyperthyroidism,502.4,,75.8,98.4,4.86,Moderate,416.7,67,10,2
3157,Dog,12,Female,,55.66,Canine Distemper,1221.1,42.5,191.7,222.3,4.32,Sedentary,,138,11,4
3158,Cat,11,Female,,160.66,FIV,934,,36.4,109.1,1.51,Moderate,856,83,29,1
3159,Rabbit,9,Female,17.76,128.68,Uterine Tumors,426.1,88.4,70.6,275.8,2.94,Sedentary,1155.1,111,19,4
3160,Horse,16,Male,672.78,275.78,PPID,,70.3,155.1,65.3,1.58,Active,788.4,116,22,3
